,Country Code,Total Population 2015,Male Population 2015(%Total),Female Population 2015(%Total),Rural Population 2015(%Total),Urban Population 2015
31,BFA,18110624,49.7982619696646,50.2017380303353,72.47,4985855
32,BDI,10199270,49.1728670305425,50.8271329694575,87.922,1231868
33,CPV,532913,49.7952742311994,50.2047257688006,35.7,342663
34,KHM,15517635,48.7740521649381,51.2259478350619,77.812,3443053
35,CMR,22834522,50.0298254454909,49.9701745545091,45.422,12462625
36,CAN,35832513,49.6034181753809,50.3965818246191,18.741,29117142
37,CYM,59963,..,..,0,59963
38,CAF,4546100,49.3230135788828,50.6769864211172,59.723,1831033
39,TCD,14009413,50.0461618166185,49.9538381833815,77.485,3154219
40,CHI,163758,49.5801501077869,50.4198498922131,69.038,50703
41,CHL,17762681,49.5224285655495,50.4775714344505,12.64,15517478
42,CHN,1371220000,51.5207766187472,48.4792233812528,44.5,761027100
43,COL,48228697,49.2311280021126,50.7688719978874,20.236,38469138
44,COM,777424,50.4336696958588,49.5663303041412,71.53,221333
45,COD,76196619,49.8658293416315,50.1341706583685,57.26,32566435
46,COG,4995648,50.0224795842138,49.9775204157862,34.457,3274298
47,CRI,4807852,50.0337261428878,49.9662738571122,23.138,3695411
48,CIV,23108472,50.7541842761858,49.2458157238143,50.556,11425753
49,HRV,4203604,48.1828435883356,51.8171564116644,43.845,2360534
50,CUB,11461432,50.038930556159,49.961069443841,23.104,8813383
51,CUW,157980,45.7511376078275,54.2488623921725,10.648,141158
52,CYP,1160985,50.0778219836122,49.9221780163878,33.054,777233
53,CZE,10546059,49.1372874764093,50.8627125235907,26.523,7748928
54,DNK,5683483,49.7268354165586,50.2731645834414,12.474,4974525
55,DJI,927414,50.1999107194845,49.8000892805155,22.583,717976
56,DMA,73162,..,..,30.421,50905
57,DOM,10528394,49.8281077683321,50.1718922316679,21.434,8271738
58,ECU,16144368,49.9930718826399,50.0069281173601,36.602,10235206
59,EGY,93778172,50.5543443284715,49.4456556715285,57.215,40122991
60,SLV,6312478,47.0492020646722,52.9507979353278,30.3,4399797
61,GNQ,1175389,55.1654783984754,44.8345216015246,29.384,830013
62,ERI,..,..,..,..,..
63,EST,1315407,46.7706963271574,53.2293036728426,31.584,899949
64,SWZ,1319011,48.4551339106332,51.5448660893667,76.7,307330
65,ETH,99873033,49.9242723463263,50.0757276536737,80.572,19403333
66,FRO,48965,..,..,58.362,20388
67,FJI,892149,50.8469484746857,49.1530515253143,45.274,488237
68,FIN,5479531,49.2129833665574,50.7870166334426,14.775,4669930
69,FRA,66593366,49.1376548956153,50.8623451043847,20.345,53044946
70,PYF,277690,50.9838450624086,49.0161549375914,38.317,171288
71,GAB,1930175,51.3870741454933,48.6129258545067,11.882,1700832
72,GMB,1977590,49.5027771260285,50.4972228739715,40.772,1171287
73,GEO,3717100,47.7269615694428,52.2730384305572,42.552,2135400
74,DEU,81686611,49.1837235757629,50.8162764242371,22.8,63062064
75,GHA,27582821,49.7553513382606,50.2446486617394,45.914,14918445
76,GIB,34228,..,..,0,34228
77,GRC,10820883,49.238197532975,50.761802467025,21.954,8445266
78,GRL,56114,..,..,13.929,48298
79,GRD,106823,50.1596038454698,49.8403961545302,64.003,38453
80,GUM,161797,50.6767697993795,49.3232302006205,5.46599999999999,152953
81,GTM,16252429,49.1926589416656,50.8073410583344,50.029,8121501
82,GIN,12091533,50.112516741052,49.887483258948,64.859,4249086
83,GNB,1770526,49.1566922409586,50.8433077590414,57.877,745799
84,GUY,768514,50.3634286428094,49.6365713571906,73.559,203203
85,HTI,10711061,49.4574912256673,50.5425087743327,47.573,5615488
86,HND,8960829,49.8524856478027,50.1475143521973,44.835,4943241
87,HKG,7291300,46.2211221668698,53.7788778331302,0,7291300
88,HUN,9843028,47.5303267829295,52.4696732170705,29.5,6939335
89,ISL,330815,50.1715434672675,49.8284565327326,6.3,309974
90,IND,1309053980,51.8362345857236,48.1637654142764,67.223,429068623
91,IDN,258162113,50.3710490223209,49.6289509776791,46.687,137633967
92,IRN,79360487,50.329520386542,49.670479613458,26.642,58217266
93,IRQ,36115649,50.6028743771744,49.3971256228256,30.079,25252423
94,IRL,4701957,49.5972432973881,50.4027567026119,37.462,2940510
95,IMN,83167,..,..,47.755,43451
96,ISR,8380100,49.5943979047074,50.4056020952926,7.821,7724692
97,ITA,60730582,48.6716352113024,51.3283647886976,30.435,42247229
98,JAM,2871934,49.759168501963,50.240831498037,45.167,1574768
99,JPN,127141000,48.8579535313623,51.1420464686377,8.619,116182717
100,JOR,9159302,50.6695320945133,49.3304679054867,9.744,8266820
101,KAZ,17542806,48.4239173301543,51.5760826698457,42.809,10032906
102,KEN,47236259,49.7012666136382,50.2987333863618,74.342,12119879
103,KIR,112407,49.2945467485099,50.7054532514901,48.381,58023
104,PRK,25243917,48.9027059034739,51.0972940965261,38.723,15468715
105,KOR,51014947,50.0550068943424,49.9449931056576,18.366,41645542
106,XKX,1801800,..,..,..,..
107,KWT,3935794,57.446691742543,42.553308257457,0,3935794
108,KGZ,5956900,49.5794406624745,50.4205593375255,64.223,2131200
109,LAO,6663967,49.8439669782625,50.1560330217375,66.892,2206306
110,LVA,1977527,45.8966801778722,54.1033198221278,32.02,1344323
111,LBN,5851479,50.2314454032889,49.7685545967111,11.894,5155504
112,LSO,2174645,48.5008412836439,51.4991587163561,73.092,585153
113,LBR,4499621,50.410656899916,49.589343100084,50.18,2241711
114,LBY,6234955,50.4945268998993,49.5054731001007,20.73,4942449
115,LIE,37403,..,..,85.697,5350
116,LTU,2904910,46.0504482565149,53.9495517434851,32.77,1952971
117,LUX,569604,50.1888869871776,49.8111130128224,9.821,513663
118,MAC,600942,47.9668789978501,52.0331210021499,0,600942
119,MDG,24234088,49.8545478103563,50.1454521896437,64.807,8528703
120,MWI,17573607,49.5181979156697,50.4818020843303,83.687,2866783
121,MYS,30723155,51.6773914238159,48.3226085761841,25.787,22800575
122,MDV,418403,56.5634814032304,43.4365185967696,61.471,161206
123,MLI,17467905,50.0096662949947,49.9903337050053,60.009,6985590
124,MLT,445053,50.1619439825825,49.8380560174175,5.586,420192
125,MHL,52994,..,..,24.189,40175
126,MRT,4182341,50.359224911999,49.640775088001,48.911,2136716
127,MUS,1262605,49.5288842731431,50.4711157268569,59,517668
128,MEX,125890949,49.7870704764719,50.2129295235281,20.715,99812639
129,FSM,104433,51.2137665546267,48.7862334453733,77.544,23451
130,MDA,3554108,48.0427213434803,51.9572786565197,57.51,1510140
131,MCO,38307,..,..,0,38307
132,MNG,2976877,49.5131809319569,50.4868190680431,31.77,2031123
133,MNE,622159,49.3219267817828,50.6780732182172,34.194,409418
134,MAR,34803322,49.479217772305,50.520782227695,39.191,21163552
135,MOZ,28010691,48.7683400929538,51.2316599070462,65.6,9635678
136,MMR,52403669,48.838467025158,51.161532974842,70.142,15646687
137,NAM,2425561,48.5964655511831,51.4035344488169,53.1,1137588
138,NRU,12475,..,..,0,12475
139,NPL,28656282,48.5177127099544,51.4822872900456,81.443,5317746
140,NLD,16939923,49.7115504733243,50.2884495266757,9.827,15275237
141,NCL,272400,50.473819168308,49.526180831692,30.621,188988
142,NZL,4595700,49.1699582644115,50.8300417355885,13.659,3967973
143,NIC,6082035,49.2922676651928,50.7077323348072,42.105,3521194
144,NER,19896965,50.0966001695837,49.9033998304163,83.753,3232660
145,NGA,181181744,50.6500977717143,49.3499022282857,52.162,86673723
146,MKD,2079308,49.9930024964976,50.0069975035023,42.592,1193689
147,MNP,54816,..,..,8.643,50078
148,NOR,5190239,50.3452903336976,49.6547096663024,18.909,4208817
149,OMN,4199810,64.8399892280867,35.1600107719133,18.65,3416545
150,PAK,189380513,51.3708253583397,48.6291746416603,63.974,68226224
151,PLW,21288,..,..,21.841,16638
152,PAN,3969249,50.1409965164677,49.8590034835323,33.304,2647330
153,PNG,7919825,50.8701201263765,49.1298798736235,86.988,1030528
154,PRY,6639119,50.7465370792308,49.2534629207692,39.25,4033265
155,PER,31376671,49.9514703245512,50.0485296754487,22.643,24272051
156,PHL,101716359,50.3732939175844,49.6267060824156,53.716,47078400
157,POL,37986412,48.3043283612553,51.6956716387447,39.722,22897449
158,PRT,10358076,47.3771227099429,52.6228772900571,36.486,6578828
159,PRI,3473177,48.0629365623123,51.9370634376877,6.376,3251727
160,QAT,2481539,75.403499439864,24.596500560136,1.05500000000001,2455359
161,ROU,19815481,48.4650106507042,51.5349893492958,46.113,10677968
162,RUS,144096870,46.4580620995092,53.5419379004908,25.95,106703732
163,RWA,11629553,49.0236678198788,50.9763321801212,82.996,1977489
164,WSM,193759,51.5855647542168,48.4144352457832,81.086,36648
165,SMR,32960,..,..,3.261,31885
166,STP,195553,49.7885440477834,50.2114559522166,29.826,137227
167,SAU,31557144,56.6993671477729,43.3006328522271,16.82,26249232
168,SEN,14976994,49.0818082216915,50.9181917783085,54.138,6868749
169,SRB,7095383,48.8719135509563,51.1280864490437,44.304,3951845
170,SYC,93419,49.5556811999275,50.4443188000725,44.6,51754
171,SLE,7237025,49.4895003860701,50.5104996139299,59.171,2954805
172,SGP,5535002,49.3905515757099,50.6094484242901,0,5535002
173,SXM,38824,..,..,0,38824
174,SVK,5423801,48.6029230486673,51.3970769513327,46.111,2922832
175,SVN,2063531,49.6113094982762,50.3886905017238,46.219,1109788
176,SLB,587482,50.8316935500344,49.1683064499656,77.64,131361
177,SOM,13908129,49.8200979772544,50.1799020227456,56.755,6014570
178,ZAF,55291225,49.1023964634099,50.8976035365901,35.172,35844195
179,SSD,11882136,50.0757903025275,49.9242096974725,81.148,2240020
180,ESP,46444832,49.0718896768572,50.9281103231428,20.398,36971015
181,LKA,20966000,48.1742914467675,51.8257085532325,81.744,3827553
182,KNA,54288,..,..,69.173,16735
183,LCA,177206,48.9890354218513,51.0109645781487,81.485,32810
184,MAF,31754,..,..,..,..
185,VCT,109455,50.4531335647725,49.5468664352275,49.036,55783
186,SDN,38647803,49.9510929483414,50.0489070516586,66.106,13099286
187,SUR,553208,50.2154720500936,49.7845279499064,33.944,365427
188,SWE,9799186,49.9818099173232,50.0181900826768,13.447,8481489
189,CHE,8282396,49.4855869883004,50.5144130116996,26.282,6105617
190,SYR,18734987,50.5803687283246,49.4196312716754,47.832,9773668
191,TJK,8548651,50.2693233839983,49.7306766160017,73.258,2286080
192,TZA,53879957,49.4188960936509,50.5811039063491,68.383,17035226
193,THA,68657600,48.8299160152614,51.1700839847386,52.306,32745556
194,TLS,1240977,50.7827659341297,49.2172340658703,70.51,365964
195,TGO,7416802,49.8289695052021,50.1710304947979,59.9,2974138
196,TON,106364,50.1410198555957,49.8589801444043,76.725,24756
197,TTO,1360092,49.3412200663191,50.6587799336809,46.681,725187
198,TUN,11273661,49.4103911763889,50.5896088236111,31.944,7672403
199,TUR,78271472,49.1917266156029,50.8082733843971,26.389,57616413
200,TKM,5565284,49.2350697961414,50.7649302038586,49.683,2800284
201,TCA,34339,..,..,7.80500000000001,31659
202,TUV,11001,..,..,40.27,6571
203,UGA,40144870,49.725126751572,50.274873248428,77.94,8855958
204,UKR,45154029,46.2114294520315,53.7885705479685,30.939,31183824
205,ARE,9154302,73.1319556064654,26.8680443935346,14.326,7842857
206,GBR,65128861,49.2858963602203,50.7141036397797,17.374,53813373
207,USA,321039839,49.4699676707185,50.5300323292815,18.329,262196447
208,URY,3431552,48.2696620045431,51.7303379954569,4.955,3261519
209,UZB,31298900,49.8244754966399,50.1755245033601,49.25,15884192
210,VUT,264603,50.6445505153003,49.3554494846997,75.039,66048
211,VEN,31155134,49.7870527534884,50.2129472465116,11.846,27464497
212,VNM,93571567,49.464344239007,50.535655760993,66.191,31635611
213,VIR,107710,47.7018337699452,52.2981662300548,4.65000000000001,102701
214,PSE,4422143,50.7156515152425,49.2843484847575,24.632,3332881
215,YEM,26916207,50.5291440995597,49.4708559004403,65.223,9360649
216,ZMB,16100587,49.6152343341193,50.3847656658807,58.093,6747273
217,ZWE,15777451,48.6650028150939,51.3349971849061,67.615,5109528
218,ARB,398304960,51.7553555544502,48.2446444455498,42.1041290762636,230602125
219,CSS,7204948,49.6385986440338,50.3614013559662,49.1974397294748,3660298
220,CEB,103257751,48.2766402553567,51.7233597446433,37.8593167508752,64165073
221,EAR,3127578757,50.9036594076665,49.0963405923335,55.994531101012,1376305694
222,EAS,2283108073,50.8143509466938,49.1856490533062,43.5567807581117,1288659692
223,EAP,2038410865,51.0007086530803,48.9992913469197,47.3094556716543,1074049779
224,TEA,2013132699,51.0270180857673,48.9729819142327,47.4178103091648,1058549253
225,EMU,339533474,48.9842406311316,51.0157593688684,23.6602979635905,259198842
226,ECS,907426233,48.4606252414863,51.5393747585137,28.3859086335715,648554710
227,ECA,410770813,47.8180967253659,52.1819032746341,33.5904483553256,271594488
228,TEC,452960829,47.8624346313696,52.1375653686304,34.2022541788674,296852471
229,EUU,509717579,48.9428279447169,51.0571720552831,24.9773884304567,382403439
230,FCS,487923553,49.9690755514785,50.0309244485215,59.764021931012,195595843
231,HPC,724482652,49.8547324469104,50.1452675530896,65.409222504138,250604184
232,HIC,1234714041,49.7197370685919,50.2802629314081,18.8226742176411,1002282060
233,IBD,4654714482,50.6988324564055,49.3011675435945,46.790403921108,2476754774
234,IBT,6194062653,50.5591889800348,49.4408110199652,51.1751503950006,3023362048
235,IDB,509396383,50.6611805234851,49.3388194765149,58.9300505189374,209208838
236,IDX,1029951788,49.8764300646949,50.1235699353051,67.1839283265984,337398436
237,IDA,1539348171,50.1364074524408,49.8635925475592,64.4493795804608,546607274
238,LTE,2250812795,50.6053550259365,49.3946449740635,40.173145216511,1346590501
239,LCN,631062657,49.4432333094333,50.5567666905667,20.1057479878351,504157418
240,LAC,556257851,49.4948708611162,50.5051291388838,21.2340673709934,438141683
241,TLA,614891969,49.442522425695,50.557477574305,20.1079028049999,491250088
242,LDC,956631108,49.8192841705336,50.1807158294665,68.0178710451636,305950995
243,LMY,6122845409,50.5835553052072,49.4164446947927,51.5805228348292,2963777313
244,LIC,696058453,49.7579183873023,50.2420816126977,68.3997258089961,219956382
245,LMC,2889349899,50.900346975111,49.099653024889,61.0035243168,1126041991
246,MEA,428974903,51.6890114294639,48.3109885705361,35.7789071508549,275492370
247,MNA,367449306,50.3645240414585,49.6354759585415,39.5217903794163,222226762
248,TMN,363027163,50.3602468521499,49.6397531478501,39.7031673919618,218893881
249,MIC,5426786956,50.6894935289129,49.3105064710871,49.4225172244464,2743820931
250,NAC,356937591,49.48336704704,50.51663295296,18.3670100893464,291378828
251,INX,..,..,..,..,..
252,OED,1284497900,49.2760788478677,50.7239211521323,19.9919028622873,1027702327
253,OSS,29396503,52.6395847578041,47.3604152421959,40.0371817982568,17626971
254,PSS,2358955,50.7891552575895,49.2108447424105,61.6616552498882,904383
255,PST,1097735849,49.0899808243151,50.9100191756849,19.2576031403863,886338237
256,PRE,854646007,50.042786865731,49.957213134269,60.4857159090863,337707254
257,SST,38960406,51.9826806569912,48.0173193430087,43.0404960304572,22191652
258,SAS,1744199944,51.5561260563716,48.4438739436284,67.2871013420139,570578360
259,TSA,1744199944,51.5561260563716,48.4438739436284,67.2871013420139,570578360
260,SSF,1005850049,49.8580501941579,50.1419498058421,61.5014193261067,387237995
261,SSA,1005756630,49.8580782794901,50.1419217205099,61.5029892026006,387186241
262,TSS,1005850049,49.8580501941579,50.1419498058421,61.5014193261067,387237995
263,UMC,2537437057,50.4495274971849,49.5504725028151,36.2435834172891,1617778940
264,,,,,,
265,,,,,,
266,,,,,,
267,,,,,,
268,,,,,,
269,,,,,,
270,,,,,,
271,,,,,,
272,,,,,,
273,,,,,,
274,,,,,,
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,,,,,,
280,,,,,,
281,,,,,,
282,,,,,,
283,,,,,,
284,,,,,,
285,,,,,,
286,,,,,,
287,,,,,,
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,,,,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,,,,,,
301,,,,,,
302,,,,,,
303,,,,,,
304,,,,,,
305,,,,,,
306,,,,,,
307,,,,,,
308,,,,,,
309,,,,,,
310,,,,,,
311,,,,,,
312,,,,,,
313,,,,,,
314,,,,,,
315,,,,,,
316,,,,,,
317,,,,,,
318,,,,,,
319,,,,,,
320,,,,,,
321,,,,,,
322,,,,,,
323,,,,,,
324,,,,,,
325,,,,,,
326,,,,,,
327,,,,,,
328,,,,,,
329,,,,,,
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,,
335,,,,,,
336,,,,,,
337,,,,,,
338,,,,,,
339,,,,,,
340,,,,,,
341,,,,,,
342,,,,,,
343,,,,,,
344,,,,,,
345,,,,,,
346,,,,,,
347,,,,,,
348,,,,,,
349,,,,,,
350,,,,,,
351,,,,,,
352,,,,,,
353,,,,,,
354,,,,,,
355,,,,,,
356,,,,,,
357,,,,,,
358,,,,,,
359,,,,,,
360,,,,,,
361,,,,,,
362,,,,,,
363,,,,,,
364,,,,,,
365,,,,,,
366,,,,,,
367,,,,,,
368,,,,,,
369,,,,,,
370,,,,,,
371,,,,,,
372,,,,,,
373,,,,,,
374,,,,,,
375,,,,,,
376,,,,,,
377,,,,,,
378,,,,,,
379,,,,,,
380,,,,,,
381,,,,,,
382,,,,,,
383,,,,,,
384,,,,,,
385,,,,,,
386,,,,,,
387,,,,,,
388,,,,,,
389,,,,,,
390,,,,,,
391,,,,,,
392,,,,,,
393,,,,,,
394,,,,,,
395,,,,,,
396,,,,,,
397,,,,,,
398,,,,,,
399,,,,,,
400,,,,,,
401,,,,,,
402,,,,,,
403,,,,,,
404,,,,,,
405,,,,,,
406,,,,,,
407,,,,,,
408,,,,,,
409,,,,,,
410,,,,,,
411,,,,,,
412,,,,,,
413,,,,,,
414,,,,,,
415,,,,,,
416,,,,,,
417,,,,,,
418,,,,,,
419,,,,,,
420,,,,,,
421,,,,,,
422,,,,,,
423,,,,,,
424,,,,,,
425,,,,,,
426,,,,,,
427,,,,,,
428,,,,,,
429,,,,,,
430,,,,,,
431,,,,,,
432,,,,,,
433,,,,,,
434,,,,,,
435,,,,,,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,,,,
440,,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,,,,
447,,,,,,
448,,,,,,
449,,,,,,
450,,,,,,
451,,,,,,
452,,,,,,
453,,,,,,
454,,,,,,
455,,,,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,,,
460,,,,,,
461,,,,,,
462,,,,,,
463,,,,,,
464,,,,,,
465,,,,,,
466,,,,,,
467,,,,,,
468,,,,,,
469,,,,,,
470,,,,,,
471,,,,,,
472,,,,,,
473,,,,,,
474,,,,,,
475,,,,,,
476,,,,,,
477,,,,,,
478,,,,,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,,,,
484,,,,,,
485,,,,,,
486,,,,,,
487,,,,,,
488,,,,,,
489,,,,,,
490,,,,,,
491,,,,,,
492,,,,,,
493,,,,,,
494,,,,,,
495,,,,,,
496,,,,,,
497,,,,,,
498,,,,,,
499,,,,,,
500,,,,,,
501,,,,,,
502,,,,,,
503,,,,,,
504,,,,,,
505,,,,,,
506,,,,,,
507,,,,,,
508,,,,,,
509,,,,,,
510,,,,,,
511,,,,,,
512,,,,,,
513,,,,,,
514,,,,,,
515,,,,,,
516,,,,,,
517,,,,,,
518,,,,,,
519,,,,,,
520,,,,,,
521,,,,,,
522,,,,,,
523,,,,,,
524,,,,,,
525,,,,,,
526,,,,,,
527,,,,,,
528,,,,,,
529,,,,,,
530,,,,,,
531,,,,,,
532,,,,,,
533,,,,,,
534,,,,,,
535,,,,,,
536,,,,,,
537,,,,,,
538,,,,,,
539,,,,,,
540,,,,,,
541,,,,,,
542,,,,,,
543,,,,,,
544,,,,,,
545,,,,,,
546,,,,,,
547,,,,,,
548,,,,,,
549,,,,,,
550,,,,,,
551,,,,,,
552,,,,,,
553,,,,,,
554,,,,,,
555,,,,,,
556,,,,,,
557,,,,,,
558,,,,,,
559,,,,,,
560,,,,,,
561,,,,,,
562,,,,,,
563,,,,,,
564,,,,,,
565,,,,,,
566,,,,,,
567,,,,,,
568,,,,,,
569,,,,,,
570,,,,,,
571,,,,,,
572,,,,,,
573,,,,,,
574,,,,,,
575,,,,,,
576,,,,,,
577,,,,,,
578,,,,,,
579,,,,,,
580,,,,,,
581,,,,,,
582,,,,,,
583,,,,,,
584,,,,,,
585,,,,,,
586,,,,,,
587,,,,,,
588,,,,,,
589,,,,,,
590,,,,,,
591,,,,,,
592,,,,,,
593,,,,,,
594,,,,,,
595,,,,,,
596,,,,,,
597,,,,,,
598,,,,,,
599,,,,,,
600,,,,,,
601,,,,,,
602,,,,,,
603,,,,,,
604,,,,,,
605,,,,,,
606,,,,,,
607,,,,,,
608,,,,,,
609,,,,,,
610,,,,,,
611,,,,,,
612,,,,,,
613,,,,,,
614,,,,,,
615,,,,,,
616,,,,,,
617,,,,,,
618,,,,,,
619,,,,,,
620,,,,,,
621,,,,,,
622,,,,,,
623,,,,,,
624,,,,,,
625,,,,,,
626,,,,,,
627,,,,,,
628,,,,,,
629,,,,,,
630,,,,,,
631,,,,,,
632,,,,,,
633,,,,,,
634,,,,,,
635,,,,,,
636,,,,,,
637,,,,,,
638,,,,,,
639,,,,,,
640,,,,,,
641,,,,,,
642,,,,,,
643,,,,,,
644,,,,,,
645,,,,,,
646,,,,,,
647,,,,,,
648,,,,,,
649,,,,,,
650,,,,,,
651,,,,,,
652,,,,,,
653,,,,,,
654,,,,,,
655,,,,,,
656,,,,,,
657,,,,,,
658,,,,,,
659,,,,,,
660,,,,,,
661,,,,,,
662,,,,,,
663,,,,,,
664,,,,,,
665,,,,,,
666,,,,,,
667,,,,,,
668,,,,,,
669,,,,,,
670,,,,,,
671,,,,,,
672,,,,,,
673,,,,,,
674,,,,,,
675,,,,,,
676,,,,,,
677,,,,,,
678,,,,,,
679,,,,,,
680,,,,,,
681,,,,,,
682,,,,,,
683,,,,,,
684,,,,,,
685,,,,,,
686,,,,,,
687,,,,,,
688,,,,,,
689,,,,,,
690,,,,,,
691,,,,,,
692,,,,,,
693,,,,,,
694,,,,,,
695,,,,,,
696,,,,,,
697,,,,,,
698,,,,,,
699,,,,,,
700,,,,,,
701,,,,,,
702,,,,,,
703,,,,,,
704,,,,,,
705,,,,,,
706,,,,,,
707,,,,,,
708,,,,,,
709,,,,,,
710,,,,,,
711,,,,,,
712,,,,,,
713,,,,,,
714,,,,,,
715,,,,,,
716,,,,,,
717,,,,,,
718,,,,,,
719,,,,,,
720,,,,,,
721,,,,,,
722,,,,,,
723,,,,,,
724,,,,,,
725,,,,,,
726,,,,,,
727,,,,,,
728,,,,,,
729,,,,,,
730,,,,,,
731,,,,,,
732,,,,,,
733,,,,,,
734,,,,,,
735,,,,,,
736,,,,,,
737,,,,,,
738,,,,,,
739,,,,,,
740,,,,,,
741,,,,,,
742,,,,,,
743,,,,,,
744,,,,,,
745,,,,,,
746,,,,,,
747,,,,,,
748,,,,,,
749,,,,,,
750,,,,,,
751,,,,,,
752,,,,,,
753,,,,,,
754,,,,,,
755,,,,,,
756,,,,,,
757,,,,,,
758,,,,,,
759,,,,,,
760,,,,,,
761,,,,,,
762,,,,,,
763,,,,,,
764,,,,,,
765,,,,,,
766,,,,,,
767,,,,,,
768,,,,,,
769,,,,,,
770,,,,,,
771,,,,,,
772,,,,,,
773,,,,,,
774,,,,,,
775,,,,,,
776,,,,,,
777,,,,,,
778,,,,,,
779,,,,,,
780,,,,,,
781,,,,,,
782,,,,,,
783,,,,,,
784,,,,,,
785,,,,,,
786,,,,,,
787,,,,,,
788,,,,,,
789,,,,,,
790,,,,,,
791,,,,,,
792,,,,,,
793,,,,,,
794,,,,,,
795,,,,,,
796,,,,,,
797,,,,,,
798,,,,,,
799,,,,,,
800,,,,,,
801,,,,,,
802,,,,,,
803,,,,,,
804,,,,,,
805,,,,,,
806,,,,,,
807,,,,,,
808,,,,,,
809,,,,,,
810,,,,,,
811,,,,,,
812,,,,,,
813,,,,,,
814,,,,,,
815,,,,,,
816,,,,,,
817,,,,,,
818,,,,,,
819,,,,,,
820,,,,,,
821,,,,,,
822,,,,,,
823,,,,,,
824,,,,,,
825,,,,,,
826,,,,,,
827,,,,,,
828,,,,,,
829,,,,,,
830,,,,,,
831,,,,,,
832,,,,,,
833,,,,,,
834,,,,,,
835,,,,,,
836,,,,,,
837,,,,,,
838,,,,,,
839,,,,,,
840,,,,,,
841,,,,,,
842,,,,,,
843,,,,,,
844,,,,,,
845,,,,,,
846,,,,,,
847,,,,,,
848,,,,,,
849,,,,,,
850,,,,,,
851,,,,,,
852,,,,,,
853,,,,,,
854,,,,,,
855,,,,,,
856,,,,,,
857,,,,,,
858,,,,,,
859,,,,,,
860,,,,,,
861,,,,,,
862,,,,,,
863,,,,,,
864,,,,,,
865,,,,,,
866,,,,,,
867,,,,,,
868,,,,,,
869,,,,,,
870,,,,,,
871,,,,,,
872,,,,,,
873,,,,,,
874,,,,,,
875,,,,,,
876,,,,,,
877,,,,,,
878,,,,,,
879,,,,,,
880,,,,,,
881,,,,,,
882,,,,,,
883,,,,,,
884,,,,,,
885,,,,,,
886,,,,,,
887,,,,,,
888,,,,,,
889,,,,,,
890,,,,,,
891,,,,,,
892,,,,,,
893,,,,,,
894,,,,,,
895,,,,,,
896,,,,,,
897,,,,,,
898,,,,,,
899,,,,,,
900,,,,,,
901,,,,,,
902,,,,,,
903,,,,,,
904,,,,,,
905,,,,,,
906,,,,,,
907,,,,,,
908,,,,,,
909,,,,,,
910,,,,,,
911,,,,,,
912,,,,,,
